1	elves	1	1346909474698830974
2	elves	2	4749411514297732591
3	grixis-affinity	1	7326404012161498444
4	grixis-affinity	2	267630186030032077
5	jund-wildfire	1	6119174633626767795
6	jund-wildfire	2	5193942465523560636
7	mono-blue-terror	1	67298692879264230
8	mono-blue-terror	2	8667342609585082881
9	mono-red-madness	1	5060665086463270094
10	mono-red-madness	2	8873557886187948018
11	mono-red-rally	1	953895737062261431
12	mono-red-rally	2	6018970485760905520
13	monster-tron	1	5471010694581151037
14	monster-tron	2	4179641302561865218
15	elves	1	5311499250263773168
16	elves	2	5759749163485092057
17	grixis-affinity	1	5287346899766369122
18	grixis-affinity	2	7347494119490486833
19	jund-wildfire	1	6436128856782512324
20	jund-wildfire	2	2271343224360409762
21	mono-blue-terror	1	2506018108146538371
22	mono-blue-terror	2	1433797836340760874
23	mono-red-madness	1	3717425999908740328
24	mono-red-madness	2	2455991833625627227
25	mono-red-rally	1	8482875154520042132
26	mono-red-rally	2	6888310769223422786
27	monster-tron	1	1908969859655740405
28	monster-tron	2	845861872120160315
29	elves	1	4165903843409865454
30	elves	2	6157399532393396090
31	grixis-affinity	1	3925794164725500072
32	grixis-affinity	2	6589671374588194766
33	jund-wildfire	1	3411728806920212033
34	jund-wildfire	2	8678253942612334137
35	mono-blue-terror	1	314951082960603989
36	mono-blue-terror	2	8255841488624495636
37	mono-red-madness	1	2225675256684591612
38	mono-red-madness	2	8676584734071996599
39	mono-red-rally	1	3096798123277661122
40	mono-red-rally	2	7096161207498570895
41	monster-tron	1	3877652831247203116
42	monster-tron	2	507179455377941590
43	elves	1	1125929735720373696
44	elves	2	3463961745773123544
45	grixis-affinity	1	266492738896897795
46	grixis-affinity	2	4339040514472534108
47	jund-wildfire	1	7974022053212018353
48	jund-wildfire	2	3678432489397333152
49	mono-blue-terror	1	1580618765621980302
50	mono-blue-terror	2	4580952780789434549
51	mono-red-madness	1	3973047985730497316
52	mono-red-madness	2	821098205980858231
53	mono-red-rally	1	8662332956234313028
54	mono-red-rally	2	8127325973467712131
55	monster-tron	1	2645218713726790745
56	monster-tron	2	5213263333040798232
57	elves	1	9095288507859819313
58	elves	2	3058756878399100271
59	grixis-affinity	1	5012433562931980692
60	grixis-affinity	2	7107402319092249588
61	jund-wildfire	1	6384455633931772436
62	jund-wildfire	2	2169040059541824042
63	mono-blue-terror	1	5585766987062750644
64	mono-blue-terror	2	8600928691570419939
65	mono-red-madness	1	5460735732002045169
66	mono-red-madness	2	2469415646208505640
67	mono-red-rally	1	567834322505531562
68	mono-red-rally	2	6257188359907635407
69	monster-tron	1	745947141798602095
70	monster-tron	2	3147261097767823077
71	elves	1	6230517145161578551
72	elves	2	4157255377364280027
73	grixis-affinity	1	6719947748614253007
74	grixis-affinity	2	2593788298980614724
75	jund-wildfire	1	8864444481913690575
76	jund-wildfire	2	8454385840131916100
77	mono-blue-terror	1	8747965346604640224
78	mono-blue-terror	2	4457714573332860351
79	mono-red-madness	1	3904667472544526313
80	mono-red-madness	2	7634398771014266798
81	mono-red-rally	1	6482078180881240348
82	mono-red-rally	2	1415661514118922550
83	monster-tron	1	2100396300836131179
84	monster-tron	2	6153705425937084291
85	elves	1	991899857618635653
86	elves	2	9161355962681219080
87	grixis-affinity	1	7385742819404004777
88	grixis-affinity	2	7511502517612771478
89	jund-wildfire	1	4415015484347251652
90	jund-wildfire	2	7184244108481912928
91	mono-blue-terror	1	1694311958935005621
92	mono-blue-terror	2	7027285008577032118
93	mono-red-madness	1	8523308081912470542
94	mono-red-madness	2	8119350439594726928
95	mono-red-rally	1	957451919027237278
96	mono-red-rally	2	7562494016328888760
97	monster-tron	1	1040961665273952725
98	monster-tron	2	2156997585775626237
99	elves	1	4896965110068322499
100	elves	2	3803694103969027165
101	grixis-affinity	1	4812242538254417777
102	grixis-affinity	2	6595669008492086906
103	jund-wildfire	1	2048850423275349296
104	jund-wildfire	2	6194691235767591109
105	mono-blue-terror	1	816607406350119189
106	mono-blue-terror	2	7790688118248791655
107	mono-red-madness	1	7603285585567135577
108	mono-red-madness	2	7821238868045183200
109	mono-red-rally	1	4210526674575584552
110	mono-red-rally	2	5347723772454405121
111	monster-tron	1	8279008538441032952
112	monster-tron	2	5251387363416657727
113	elves	1	6460435009319903511
114	elves	2	492251854507996908
115	grixis-affinity	1	358522288304539002
116	grixis-affinity	2	3541845101640202026
117	jund-wildfire	1	286119091791191430
118	jund-wildfire	2	4307150614863032506
119	mono-blue-terror	1	439012777995489684
120	mono-blue-terror	2	423434727470409365
121	mono-red-madness	1	722053547894641045
122	mono-red-madness	2	3978493856377287500
123	mono-red-rally	1	4005063786208702777
124	mono-red-rally	2	5597101958192137306
125	monster-tron	1	1755893805939864641
126	monster-tron	2	76545204871236668
127	elves	1	6830022462730001335
128	elves	2	8093335787841678665
